Revenue,Revenue Growth,SG&A Expense,Operating Expenses,Operating Income,EPS,Weighted Average Shs Out,Gross Margin,EBITDA Margin,EBIT Margin,Free Cash Flow margin,Cash and cash equivalents,Cash and short-term investments,Receivables,"Property, Plant & Equipment Net",Total non-current assets,Payables,Retained earnings (deficit),Total shareholders equity,Net Debt,Other Assets,Depreciation & Amortization,Investing Cash flow,Financing Cash Flow,Net cash flow / Change in cash,priceSalesRatio,returnOnAssets,returnOnEquity,fixedAssetTurnover,assetTurnover,currentRatio,cashRatio,daysOfInventoryOutstanding,daysOfPayablesOutstanding,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,Net Income per Share,Book Value per Share,Tangible Book Value per Share,Earnings Yield,Income Quality,Capex to Depreciation,Working Capital,Tangible Asset Value,Net Current Asset Value,Receivables Turnover,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,Weighted Average Shares Growth,Operating Cash Flow growth,Free Cash Flow growth,Receivables growth,Asset Growth,Book Value per Share Growth,SG&A Expenses Growth,class
0.2667520096387357,0.035171640319718686,0.27594857176654736,0.2511556208912885,0.3406631474875098,0.7023720162137818,0.5940228568132055,0.9582342027720179,0.7423684839683707,0.5904962398709758,0.998473549322063,0.022568925303510557,0.08709108306919443,0.13719767323196244,0.792530381733741,0.4231310743815757,0.06842255940452334,0.5230037369096605,0.4243949447863703,0.7816646011349553,0.13868289569020173,0.5922038980509745,0.3873681848777205,0.726143427714822,0.6983047035339762,0.001257213001965119,0.3292643029485135,0.7513730660769447,5.534470516507652e-05,0.11392202426024786,0.026652823178189726,0.002874833716499682,0.0235885034951355,0.0003051066768525002,3.6952188162628295e-06,0.015938660431444405,8.628707809859834e-08,0.30754266444568024,0.08206287476771586,0.021793532985682176,0.9072983507648807,0.34267882771457475,0.21173090242374473,0.6668865387841039,0.2504990781238422,0.4939855885170227,0.050632102785869236,0.7026723194075969,0.08641490576400002,0.7348238534278263,0.3939158319091216,0.5815262711864407,0.0011824205571775725,0.7287694420432235,0.1787803732449339,0.04284723810612992,0.19978310906515584,0.4336726071108757,0.2117287768671718,1
0.11442609988892864,0.04702049470421499,0.03320796928069226,0.03563641546007663,0.22534640404232162,0.7601711454736526,0.1509527802347987,0.955112954272618,0.7425296414688356,0.5907224592534408,0.9986971317726733,0.04863644518868489,0.05084923150529275,0.11180732727829369,0.3830606663753904,0.11663239271970169,0.07826367019753794,0.41023586015855834,0.18832789895291652,0.671613071554367,0.10935597372351859,0.3102144579883971,0.45519407673322865,0.8396842535615822,0.7484888526525908,0.0008334876870264012,0.32982975189452923,0.7530851267895058,4.911813110468347e-05,0.1441650549902711,0.04291994910361358,0.017901177309126187,0.04481324561880307,0.0008135687627110876,4.244736551475104e-06,0.015959434707362316,7.443331331444082e-07,0.3075469165581478,0.10478744803540298,0.03983493707470108,0.9140287035608146,0.3425568041577445,0.20815398210253838,0.6658140476444471,0.11433928370965583,0.6409884910301273,0.028989587133086976,0.7121470267326491,0.08695634891491975,0.7389596408035113,0.39580337647121483,0.5831669491525424,0.0018346152771107607,0.7317346063476672,0.18493731580761397,0.05208214204025617,0.24167847025495753,0.4472460806941869,0.2845600742229782,1
1.0,0.036131572057906194,0.682969406825784,0.38053601584314595,1.0,0.7582194865635791,0.6286342841675995,0.9327076285059478,0.7422445166603208,0.5904189799525142,0.998587173190406,0.1937159858860116,0.4956417080318163,0.9999999999999999,0.6683819602893344,1.0,1.0,0.6114961375350745,0.6063724843883779,1.0,0.22598869240556096,0.7107098624600743,1.0,0.0,0.8680592650903878,0.0017467307915250687,0.33481105039809494,0.7543848818314309,0.0002460138618351116,0.1494272341805193,0.017440946943906143,0.003538856872960472,0.04586288290475301,0.0011894867395398673,4.277633768550084e-06,0.01883561200995656,6.892027149854901e-07,0.3075467749351293,0.09250560355562368,0.08101831262909268,0.9050781308336776,0.34260773255242155,0.21999805262684105,0.6687439608058229,1.0,0.0,0.027639297867203785,0.7030136395696909,0.08642154355601414,0.734378687552802,0.3908120992639287,0.5775237288135593,0.0009190016508149471,0.728306019726651,0.17800141959876142,0.049083657365050326,0.185663066572238,0.42711919986883096,0.2847147054275553,1
0.41551987047948946,0.03562090130156402,0.9085787456361172,0.45442550375861734,0.5033703334444192,0.6842065755892509,1.0,0.9620757393866637,0.7423392631029018,0.5905009222902765,0.9987304012924363,1.0,1.0,0.54048372282886,0.5849151253297085,0.3805090747740906,0.15418336673346694,0.36336918585066535,0.46993959355430465,0.34680060009131825,0.17379107545618763,0.6688612215631314,0.5035449854161993,0.5690773956160307,0.830357895920605,0.002861630546497555,0.3274405531490552,0.7504679779603878,0.00011681086585611358,0.0877266185618245,0.04467605928874457,0.03620952733995648,0.059655702622839916,0.0004413723167058104,3.652132976316704e-06,0.016345666653509627,2.2896322961171526e-06,0.3075413322731168,0.07166420812659247,0.03065281772032639,0.9035199944245598,0.3435923238268458,0.22160371691073133,0.7234913176811371,0.5881793056588981,0.581325721657176,0.01988031106435395,0.7030212034513994,0.08645330461896546,0.7345495526901274,0.38893649710074063,0.5748029661016949,0.0012942253663089762,0.727955591217944,0.17683630853424492,0.042193218206770355,0.1988757082152975,0.42982330016270004,0.2923689500541209,1
0.22015474688906042,0.03499064308962273,0.19863301183716348,0.08123931512561723,0.07389098396831215,0.6928389130761148,0.20595573541162354,0.9107824948161082,0.7420346577174077,0.5901190124660632,0.9981067387694225,0.03861910172836553,0.03861910172836553,0.10435758750892947,0.03556806964739388,0.056466683163670185,0.26510163183509877,0.3014446292532393,0.00440123826936277,0.6910769030069793,0.1571124890808725,0.03441757382178476,0.6234687009199014,0.8620443848081097,0.65846664230088,0.00027137430158335026,0.2994575150445596,0.6563564525837454,0.0010177756502033016,0.34750440049325027,0.013096884907003182,0.0032544831287976816,0.021739888573611723,0.001432332499968546,3.4696892068460877e-06,0.01571866508912186,4.215902022633212e-07,0.30754196499575287,0.05032471886434606,0.019457923338856663,0.9092547329015686,0.3422784150849759,0.22941709242490213,0.6577938034023124,0.07834773052625252,0.5456772771250198,0.05407765330739368,0.7026269361173462,0.08642825853165634,0.7343760689300077,0.39364502994475836,0.5813559322033899,0.0009782920798997825,0.7284009197548256,0.1780218892613384,0.04139981701738335,0.20281515580736548,0.45139304047321754,0.29082263800835007,1
0.024379224006476026,0.03852332116988853,0.02294556550370899,0.024555451976081992,0.02382616853122192,0.6706200270229695,0.1300755775271902,0.9321073884099094,0.7420497108905281,0.590118719814857,0.9978504506892147,0.008058728544943486,0.008641827641887447,0.025206653740177568,0.005631341327248895,0.004334729890010496,0.018626538791869453,0.2709832595896661,0.015040423542558953,0.6863348770465071,0.11072547641709285,0.011081415813832214,0.6357190935606911,0.9214931913243111,0.7069077005257387,0.001166783623098422,0.3279478056805992,0.7511944737811076,0.0007118562859871445,0.2924290874443112,0.027469260369522554,0.008602298051424522,0.04741949295639571,0.0009088077387918627,3.295209827795463e-06,0.014572645798637998,1.4468604603122236e-07,0.3075403339025861,0.053552750052683,0.004746986602363281,0.9033656742051264,0.3417310627111939,0.22481504547851183,0.6608237623789547,0.01166642630353304,0.6136625094464045,0.033778378102140905,0.7050417053527701,0.08754360054909976,0.7422198261823654,0.42625487984171484,0.6285309322033898,0.0016110056588479532,0.7343161086705023,0.17514839122283,0.09722023673376029,0.25389518413597734,0.4578304135608612,0.2825885263646204,1
0.004444533970895536,0.04493256237132229,0.035859267429386506,0.02030054647597751,0.0,0.6607866686683681,0.16853772563631153,0.9261486412746917,0.7410960480993156,0.5884684596625671,0.9959983534407169,0.002894182465163567,0.009561801028646613,0.007244922951321563,0.0034396491739081183,0.004429351582432398,0.0005524620669911251,0.27764784679282856,0.02087661145400501,0.6773787554627878,0.10816157173147989,0.005974056450035852,0.6551145164909132,0.9216969484134057,0.7114050718322135,0.0025300287199387273,0.32036654303860784,0.7422692686755727,0.00021246939392862097,0.08949192117149846,0.088193702034315,0.020941421887081844,0.07475992186502768,0.00014785457666241064,3.2596032057516555e-06,0.014367870793161432,3.923577692065485e-08,0.3075396114927306,0.054487633862717676,0.0016273500219066352,0.8936883030251741,0.3420586996146832,0.2205859388635057,0.6607249954350525,0.005346596118867129,0.6185858118613147,0.016393789286148545,0.7256599014048021,0.08661504291158874,0.7359511705407553,0.3921167256524343,0.5791152542372882,0.00232079679560641,0.7277713300737451,0.17681915827641018,0.0453918401189387,0.14556037535410765,0.42335817977726486,0.026441935982681325,1
0.2102373915171596,0.043077340762838694,0.46185753580616046,0.26528661649962354,0.3627925441808486,0.7254916679177301,0.374034351436677,0.9817199607115573,0.7424348950262546,0.5906819270613691,0.9986821886832883,0.07489833143950721,0.30735302912505236,0.15485253597305845,0.3994206838519669,0.19990101797888954,0.024352275980532495,0.4871701768185608,0.4778086812445584,0.41754614832691933,0.1251541655101074,0.28127240727462355,0.3792012564505273,0.7579591793947146,0.7639236413731059,0.0028276422676680357,0.3291078017798666,0.7511569914474133,8.654932930306203e-05,0.11804016141016578,0.11080747178670346,0.022605300930659336,0.033780815300483026,0.00013778027037573436,3.931277299407266e-06,0.016881558179228838,4.5691162723723964e-07,0.3075443673438147,0.1068507059522213,0.029513013858829037,0.9053569028429767,0.3426247573959793,0.1831853513446979,0.6847815908382274,0.2125607053805678,0.7918710379252084,0.03666354756454515,0.704581254053768,0.08645781986120762,0.7346320393081467,0.3913211036713194,0.5779381355932204,0.0013120124950344268,0.7283178360725716,0.17600977675343407,0.046492594922232386,0.22488048866855526,0.4345428632688839,0.4645894541518478,1
0.14828215892618463,0.03236618325323129,0.3971757717615887,0.22210652461027264,0.2013740456957492,0.6745984086473503,0.5313291953883883,0.9776601549710793,0.7423525453144786,0.5905541848098219,0.9988837794174451,0.16162310866574967,0.5028183123018959,0.10482702316562914,0.09542534427237567,0.26320684682532236,0.009465359290008588,0.38711969222773535,0.2669517573655443,0.6423977561802883,0.14455219294837712,0.18153966495013363,0.5133273502355845,0.81655886700282,0.7053332958475077,0.0020043868291284594,0.32700408004051734,0.7491131018395006,0.00025551091855853227,0.05878457547259161,0.061328297096872576,0.01789840567902104,0.03242241709193665,7.592821127084954e-05,3.528281664532403e-06,0.015875489674061362,6.914432531368208e-07,0.30754062487552203,0.07264123833789919,0.023271544544040023,0.9033756303483157,0.3447915158116956,0.23097866524104255,0.6925405725799233,0.23904784172392626,0.5411285625580622,0.033250597827906625,0.7018563656682975,0.0863962659178208,0.7339580712664739,0.38806308814297313,0.5736368644067796,0.0013569038199129448,0.7278758308829801,0.17738788295557587,0.03463446363220494,0.19602071529745044,0.4275757690415831,0.26728003711148907,1
0.25174601635096744,0.03814516624272376,0.3337190159351212,0.12205439692749848,0.012324495981305719,0.6661777510884253,0.05535087321271119,0.90644985266834,0.74196585586144,0.5900135117061944,0.9979043022000175,0.04057185081698762,0.04571288770821273,0.0490896306646372,0.0647199819342201,0.06440393333381346,0.20767354431832413,0.28829528233529594,0.05627870839620151,0.66200236346438,0.11118518990344868,0.0524500286822567,0.5548554104553333,0.9382210780619732,0.7412869806180523,5.4334002131679814e-05,0.3267917417714989,0.7478001177386246,0.0006396000923077254,0.45450256958273627,0.0019224785184591825,0.004912501132427666,0.008943100395592695,0.0009812467245340602,9.607701242060904e-06,0.01663608255154575,2.372159224012371e-05,0.30753354444209446,0.0625994750857296,0.02063099893157114,0.9018523404403602,0.335533800452174,0.1722525044872254,0.6507836011302548,0.07400873890261472,0.5933161317231723,0.08592950124323533,0.7038447210724073,0.08551239760096303,0.7273175711880789,0.34272102717541286,0.5098495762711864,0.0010782388032142191,0.7266026196100385,0.17102735023537347,0.019313243366880145,0.2108268413597734,0.4333118922395853,0.32553734343590535,1
